title,dataset,abstract,abstract_source,authors,author_source,doi,doi_source,journal,journal_source,keywords
Survey of checkpoints along the pathway to diverse biomedical research faculty,dataset-370,"There is a persistent shortage of underrepresented minority (URM) faculty who are involved in basic biomedical research at medical schools. We examined the entire training pathway of potential candidates to identify the points of greatest loss. Using a range of recent national data sources, including the National Science Foundation's Survey of Earned Doctorates and Survey of Doctoral Recipients, we analyzed the demographics of the population of interest, specifically those from URM backgrounds with an interest in biomedical sciences. We examined the URM population from high school graduates through undergraduate, graduate, and postdoctoral training as well as the URM population in basic science tenure track faculty positions at medical schools. We find that URM and non-URM trainees are equally likely to transition into doctoral programs, to receive their doctoral degree, and to secure a postdoctoral position. However, the analysis reveals that the diversions from developing a faculty career are found primarily at two clearly identifiable places, specifically during undergraduate education and in transition from postdoctoral fellowship to tenure track faculty in the basic sciences at medical schools. We suggest focusing additional interventions on these two stages along the educational pathway.",,"Lindsay C Meyers,Abigail M Brown,Liane Moneta-Koehler,Roger Chalkley",,10.1371/journal.pone.0190606,,PLOS ONE,,"Demography,data sources,Biomedical Research,medical schools,Hearing Loss, High-Frequency,biological Science Disciplines,Doctorate Degree"
Doctoral Education in Social Work: What We Know and What We Need to Know,dataset-370,"Little is known about social work doctoral students and graduates: why they chose doctoral study, the kind of work they do, and the nature of their unique contributions to the profession. This article reviews past studies of doctoral education in social work in the context of general trends in doctoral education in the United States, underscoring the need for more social workers with doctoral degrees. Using data from the Survey of Earned Doctorates, social work doctoral graduates from two recent years are described, including their employment plans at graduation and their indebtedness. Implications of the findings for the profession are discussed.",,"Jeane W. Anastas,Alexis N Kuerbis",,10.1093/sw/54.1.71,,Social Work,,"Social Work (discipline),Choose (action),Review [Publication Type]"
Profile of the graduate student population in U.S. medical schools.,dataset-370,"The Association of American Medical Colleges (AAMC) sponsored surveys of accredited U.S. medical schools in 1994-95 and in 1995-96 to gather enough data to determine an accurate profile of the population of students enrolled in and/or graduated from biomedical PhD and MD-PhD programs at these institutions. Previously collected data on the graduate student population at medical schools often did not distinguish between PhD students at the medical school and graduate students in other parts of the university. The AAMC surveys defined a medical school PhD- or MD-PhD-trained student as one whose major professor holds his or her primary appointment in a department of the medical school. The data were the result of census-taking by the responding schools on October 1, 1994, and October 1, 1995. There were 81 responses to each of the two surveys. Overall, 104 medical schools supplied data in either one or both of the survey years. When the data are extrapolated from the sample to the total population of 122 medical schools that award graduate degrees, a number of interesting estimates emerge. (1) When compared with the 1995 data for 18 biomedically-related biological science disciplines from the National Research Council's Survey of Earned Doctorates, the AAMC survey indicates that approximately 60% of the 4,000 PhDs awarded were earned by students studying at U.S. medical schools. (2) The total enrollment of PhD students in U.S. medical schools is approximately 18,600, a number that is about 25-30% of the number of medical students currently enrolled at all accredited U.S. medical schools. In some institutions, the number of graduate students rivals the number of medical students. (3) PhD students are enrolled in a wide variety of programs bearing titles reflective of a trend toward \""interdisciplinary\"" rather than \""departmental\"" degrees. (4) At a given time, the number of students supported by National Institutes of Health (NIH) research grants is nearly twice that provided for by NIH traineeships. In addition, all forms of institutional support provide for more than one-third of the PhD students in U.S. medical schools. (5) Approximately 24% of enrolled students are international students on temporary or permanent visas. (6) The data obtained from the two surveys of graduate programs within medical schools are relatively consistent, enabling more confidence in the reliability and accuracy of findings presented in this report.",,"S W Ammons,Diane Kelly",,10.1097/00001888-199709000-00020,,Academic Medicine,,"United States National Institutes of Health,medical schools,schools,Association of American Medical Colleges,CensusesBiological Science Disciplines,Providing (action),funding grants"
Who's Teaching the Teachers? Evidence from the National Survey of Postsecondary Faculty and the Survey of Earned Doctorates,dataset-370,"In light of a documented shortage of candidates for teacher education faculty positions, this study explores the academic labor market for teacher education faculty utilizing data from the National Survey on Postsecondary Faculty and the Survey of Earned Doctorates. The study sheds light on the factors that predict who becomes a faculty member in teacher education.",,"Lisa Wolf-Wendel,Bruce D. Baker,Susan B. Twombly,Nona F. Tollefson,Marc C. Mahlios",,10.1086/498997,,American Journal of Education,,"universities,List of fields of doctoral studies in the United States,Iontophoresis,Word lists by frequency,Reyes rendering,adenotonsillectomySpecial Education"
Female computer science doctorates: what does the survey of earned doctorates reveal?,dataset-370,"Based on the National Center for Education Statistics (2000), in the 1997-1998 academic year 26.7% of earned bachelors' degrees, 29.0% of earned masters' degrees and 16.3% of earned doctorates' degrees in computer science were awarded to women. As these percentages suggest, women are underrepresented at all academic levels in computer science (Camp, 1997). The most severe shortage occurs at the top level---the doctorate in computer science. We know very little about the women who persist to the top level of academic achievement in computer science.This paper examines a subset of data collected through the Survey of Earned Doctorates (SED). The specific focus of this paper is to identify trends that have emerged from the SED with respect to females completing doctorates in computer science between the academic years 1990-1991 and 1999-2000. Although computer science doctorates include doctorates in information science, prior research (Camp, 1997) suggests that the percentage of women completing doctorates in information science as compared to computer science is low. The specific research questions are:1. How does the percentage of women who complete doctorates in computer science compare to those that complete doctorates in other fields?2. How does the length of time in school and the sources of funding differ for females as compared to males who complete doctorates in computer science?3. Where do women go after completing doctorates in computer science and what positions do they acquire? How do these experiences differ from their male peers?",,Barbara Moskal,,10.1145/543812.543841,,ACM SIGCSE Bulletin,,"computer science,List of fields of doctoral studies in the United States,Information science,experience,"
Stability and Longevity in the Publication Careers of U.S. Doctorate Recipients,dataset-370,"Since the 1950s, the number of doctorate recipients has risen dramatically in the United States. In this paper, we investigate whether the longevity of doctorate recipients' publication careers has changed. This is achieved by matching 1951-2010 doctorate recipients with rare names in astrophysics, chemistry, economics, genetics and psychology in the dissertation database ProQuest to their publications in the publication database Web of Science. Our study shows that pre-PhD publication careers have changed: the median year of first publication has shifted from after the PhD to several years before PhD in most of the studied fields. In contrast, post-PhD publication career spans have not changed much in most fields. The share of doctorate recipients who have published for more than twenty years has remained stable over time; the shares of doctorate recipients publishing for shorter periods also remained almost unchanged. Thus, though there have been changes in pre-PhD publication careers, post-PhD career spans remained quite stable.",,"Cathelijn J. F. Waaijer,Benoit Macaluso,Cassidy R. Sugimoto,Vincent Lariviere",,10.1371/journal.pone.0154741,,PLOS ONE,,
"Stay Rates of Foreign Doctorate Recipients from U.S. Universities, 2007",dataset-370,"Study of the stay rate in the United States of foreign nationals receiving their S/E doctorates from U.S. universities. This study has estimated stay rates in 2007 for persons receiving a doctorate one, two, five, and ten years previously. The two-year stay rate (for 2005 graduates) recovered from the decline experienced earlier in the decade. The five-year stay rate (for 2002 graduates) is lower; the ten-year stay rate (for 1997 graduates) reached a new high.",,Michael G. Finn,,10.2172/971617,,U.S. Department of Energy Office of Scientific and Technical Information,,
Issues of validity in reporting the number of doctorates in mathematics education,dataset-370,"The Survey of Earned Doctorates (SED) has historically been used to report the number of new doctorates entering over 100 different academic disciplines annually, including the field of mathematics education. In this article, we examine the validity of the use of this measure for this purpose by analyzing data from 23 institutions that grant mathematics education doctoral degrees and a specific university. Results showed that the SED underestimated the number of doctoral graduates by 5\u201315%, raising concerns about the use of the SED for this purpose.",," Jeffrey C. Shih,Christopher Engledowl,Robert E. Reys",,10.1080/19477503.2017.1375356,,Investigations in Mathematics Learning,,List of fields of doctoral studies in the United States
Size and characteristics of the biomedical research workforce associated with U.S. National Institutes of Health extramural grants,dataset-370,"The U.S. National Institutes of Health (NIH) annually invests approximately $22 billion in biomedical research through its extramural grant programs. Since fiscal year (FY) 2010, all persons involved in research during the previous project year have been required to be listed on the annual grant progress report. These new data have enabled the production of the first-ever census of the NIH-funded extramural research workforce. Data were extracted from All Personnel Reports submitted for NIH grants funded in FY 2009, including position title, months of effort, academic degrees obtained, and personal identifiers. Data were de-duplicated to determine a unique person count. Person-years of effort (PYE) on NIH grants were computed. In FY 2009, NIH funded 50,885 grant projects, which created 313,049 full- and part-time positions spanning all job functions involved in biomedical research. These positions were staffed by 247,457 people at 2,604 institutions. These persons devoted 121,465 PYE to NIH grant-supported research. Research project grants each supported 6 full- or part-time positions, on average. Over 20% of positions were occupied by postdoctoral researchers and graduate and undergraduate students. These baseline data were used to project workforce estimates for FYs 2010-2014 and will serve as a foundation for future research.",,"Lindsay R. Pool,Robin M. Wagner,Lindsey L Scott,Deepshikha Roychowdhury,Rediet Berhane,Charles Chong-han Wu,Katrina Pearson,Jennifer Ann Sutton,Walter T Schaffer",,10.1096/fj.14-264358,,The FASEB Journal,,"Extramural Activities,nited States National Institutes of Health,funding grant,biomedical research,National Research Service Awards,censuses,manuscript,Projections and Predictions,extraction,Conflict (Psychology),Spectrophotometry,Direct Coombs test,Advisory Committees,data collection"
"Disparities in publication patterns by gender, race and ethnicity based on a survey of a random sample of authors",dataset-370,"Gender and racial disparities have greatly diminished in academia over the last 30 years, but attrition rates among women and minority faculty still remain high. In this paper we examine gender and racial disparities in publishing, an activity that is important for career advancement, but has not been incorporated adequately into the debate on faculty attrition. We surveyed a random sample of 1,065 authors who contributed a peer-reviewed journal article indexed in the Web of Science (WoS) in 2005 and at least one other article during the period of 2001 to 2004 in four academic disciplines representing natural sciences (biochemistry and water resources) and social sciences (anthropology and economics). We then report on the relationships between demographic variables (gender and race/ethnicity) and career-related variables (academic rank, discipline, and h-index) of these authors. Our findings show that at every career level and within each discipline, women were under-represented in academic positions compared to men and an even lower percentage of women published at each academic level than were employed at that level. Further, we found that women had lower h-indices than men in all four disciplines surveyed. Societal and biological constraints may reduce women's ability to obtain research intensive positions and contribute to these gender disparities. Hispanics and blacks were underrepresented among individuals awarded with doctoral degrees, doctorate recipients employed in academia, and academics publishing in WoS as compared to their representation in the population. Whites, Asians, and Native Americans and Pacific Islanders were adequately or over-represented in each category. Additionally, blacks had lower h-indices than the other ethnic groups across the disciplines surveyed. Compared to women, attrition among blacks and Hispanics appears to occur earlier in their career development. Cumulative experiences with discrimination and stereotypes may partly explain higher attrition and lower publication productivity among blacks and Hispanics.",,"Allison L. Hopkins,James W. Jawitz,Christopher McCarty,Alex Goldman,Nandita B. Basu",,10.1007/s11192-012-0893-4,,Scientometrics,,"Attrition (website),Web of Science,Experience,World Wide Web"
"Employment Trends Among Public Health Doctoral Recipients, 2003-2015",dataset-370,"Objectives. To examine postgraduation employment trends among graduates of doctoral programs in public health from 2003 to 2015.
Methods. We analyzed pooled cross-sectional data from a census of graduates receiving a research doctorate from US accredited institutions. The outcome of interest was employment status. Covariates included public health discipline, sociodemographic characteristics, and institutional attributes.
Results. Of 11 771 graduates, nearly two thirds secured employment in either academic (34.8%) or nonacademic (31.4%) settings at the time of graduation. The proportion of those still seeking employment increased over time. Individuals who were White, younger, trained in either biostatistics or epidemiology, or from an institution with the highest level of research intensity were significantly more likely to secure employment. Academic employment was the most common setting for all 5 public health disciplines, but we observed differences in employment patterns (e.g., government, nonprofit, for-profit) across disciplines.
Conclusions. Certain characteristics among public health doctoral recipients are correlated with postgraduation employment. More research is needed, but the observed increase in individuals still seeking employment may be attributable to increases in general public health graduates from for-profit institutions.",,"Brittany L. Brown-Podgorski, Elizabeth H. Golembiewski,Ann M. Holmes,Joanna R. Jackson,Nir Menachemi",,10.2105/ajph.2018.304553,,American Journal of Public Health,,
"Are Race, Ethnicity, and Medical School Affiliation Associated With NIH R01 Type Award Probability for Physician Investigators?",dataset-370,"PURPOSE: o analyze the relationship among National Institutes of Health (NIH) R01 Type 1 applicant degree, institution type, and race/ethnicity, and application award probability. METHOD: the authors used 2000-2006 data from the NIH IMPAC II grants database and other sources to determine which individual and institutional characteristics of applicants may affect the probability of applications being awarded funding. They used descriptive statistics and probit models to estimate correlations between race/ethnicity, degree (MD or PhD), and institution type (medical school or other institution), and application award probability, controlling for a large set of observable characteristics. RESULTS: Applications from medical schools were significantly more likely than those from other institutions to receive funding, as were applications from MDs versus PhDs. Overall, applications from blacks and Asians were less likely than those from whites to be awarded funding; however, among applications from MDs at medical schools, there was no difference in funding probability between whites and Asians, and the difference between blacks and whites decreased to 7.8%. The inclusion of human subjects significantly decreased the likelihood of receiving funding. CONCLUSIONS: Compared with applications from whites, applications from blacks have a lower probability of being awarded R01 Type 1 funding, regardless of the investigator's degree. However, funding probability is increased for applications with MD investigators and for those from medical schools. To some degree, these advantages combine so that applications from black MDs at medical schools have the smallest difference in funding probability compared with those from whites.",,"Donna K Ginther,Laurel L. Haak,Walter T Schaffer,Raynard Kington",,10.1097/ACM.0b013e31826d726b,,Journal of the Association of American Medical Colleges,,
