title,dataset,abstract,authors,doi,journal,keywords,,,,
Doctoral Education in Social Work: What We Know and What We Need to Know,dataset-370,"Little is known about social work doctoral students and graduates: why they chose doctoral study, the kind of work they do, and the nature of their unique contributions to the profession. This article reviews past studies of doctoral education in social work in the context of general trends in doctoral education in the United States, underscoring the need for more social workers with doctoral degrees. Using data from the Survey of Earned Doctorates, social work doctoral graduates from two recent years are described, including their employment plans at graduation and their indebtedness. Implications of the findings for the profession are discussed.","Jeane W. Anastas,Alexis N Kuerbis",10.1093/sw/54.1.71,Social Work,"Social Work (discipline),Choose (action),Review [Publication Type]",,,,
Profile of the graduate student population in U.S. medical schools.,dataset-370,"The Association of American Medical Colleges (AAMC) sponsored surveys of accredited U.S. medical schools in 1994-95 and in 1995-96 to gather enough data to determine an accurate profile of the population of students enrolled in and/or graduated from biomedical PhD and MD-PhD programs at these institutions. Previously collected data on the graduate student population at medical schools often did not distinguish between PhD students at the medical school and graduate students in other parts of the university. The AAMC surveys defined a medical school PhD- or MD-PhD-trained student as one whose major professor holds his or her primary appointment in a department of the medical school. The data were the result of census-taking by the responding schools on October 1, 1994, and October 1, 1995. There were 81 responses to each of the two surveys. Overall, 104 medical schools supplied data in either one or both of the survey years. When the data are extrapolated from the sample to the total population of 122 medical schools that award graduate degrees, a number of interesting estimates emerge. (1) When compared with the 1995 data for 18 biomedically-related biological science disciplines from the National Research Council's Survey of Earned Doctorates, the AAMC survey indicates that approximately 60% of the 4,000 PhDs awarded were earned by students studying at U.S. medical schools. (2) The total enrollment of PhD students in U.S. medical schools is approximately 18,600, a number that is about 25-30% of the number of medical students currently enrolled at all accredited U.S. medical schools. In some institutions, the number of graduate students rivals the number of medical students. (3) PhD students are enrolled in a wide variety of programs bearing titles reflective of a trend toward \interdisciplinary\ rather than \departmental\ degrees. (4) At a given time, the number of students supported by National Institutes of Health (NIH) research grants is nearly twice that provided for by NIH traineeships. In addition, all forms of institutional support provide for more than one-third of the PhD students in U.S. medical schools. (5) Approximately 24% of enrolled students are international students on temporary or permanent visas. (6) The data obtained from the two surveys of graduate programs within medical schools are relatively consistent, enabling more confidence in the reliability and accuracy of findings presented in this report.","S W Ammons,Diane Kelly",10.1097/00001888-199709000-00020,Academic Medicine,"United States National Institutes of Health,medical schools,schools,Association of American Medical Colleges,CensusesBiological Science Disciplines,Providing (action),funding grants",,,,
Who's Teaching the Teachers? Evidence from the National Survey of Postsecondary Faculty and the Survey of Earned Doctorates,dataset-370,"In light of a documented shortage of candidates for teacher education faculty positions, this study explores the academic labor market for teacher education faculty utilizing data from the National Survey on Postsecondary Faculty and the Survey of Earned Doctorates. The study sheds light on the factors that predict who becomes a faculty member in teacher education.","Lisa Wolf-Wendel,Bruce D. Baker,Susan B. Twombly,Nona F. Tollefson,Marc C. Mahlios",10.1086/498997,American Journal of Education,"universities,List of fields of doctoral studies in the United States,Iontophoresis,Word lists by frequency,Reyes rendering,adenotonsillectomySpecial Education",,,,
Female computer science doctorates: what does the survey of earned doctorates reveal?,dataset-370,"Based on the National Center for Education Statistics (2000), in the 1997-1998 academic year 26.7% of earned bachelors' degrees, 29.0% of earned masters' degrees and 16.3% of earned doctorates' degrees in computer science were awarded to women. As these percentages suggest, women are underrepresented at all academic levels in computer science (Camp, 1997). The most severe shortage occurs at the top level---the doctorate in computer science. We know very little about the women who persist to the top level of academic achievement in computer science.This paper examines a subset of data collected through the Survey of Earned Doctorates (SED). The specific focus of this paper is to identify trends that have emerged from the SED with respect to females completing doctorates in computer science between the academic years 1990-1991 and 1999-2000. Although computer science doctorates include doctorates in information science, prior research (Camp, 1997) suggests that the percentage of women completing doctorates in information science as compared to computer science is low. The specific research questions are:1. How does the percentage of women who complete doctorates in computer science compare to those that complete doctorates in other fields?2. How does the length of time in school and the sources of funding differ for females as compared to males who complete doctorates in computer science?3. Where do women go after completing doctorates in computer science and what positions do they acquire? How do these experiences differ from their male peers?",Barbara Moskal,10.1145/543812.543841,ACM SIGCSE Bulletin,"computer science,List of fields of doctoral studies in the United States,Information science,experience,",,,,
Stability and Longevity in the Publication Careers of U.S. Doctorate Recipients,dataset-370,"Since the 1950s, the number of doctorate recipients has risen dramatically in the United States. In this paper, we investigate whether the longevity of doctorate recipients' publication careers has changed. This is achieved by matching 1951-2010 doctorate recipients with rare names in astrophysics, chemistry, economics, genetics and psychology in the dissertation database ProQuest to their publications in the publication database Web of Science. Our study shows that pre-PhD publication careers have changed: the median year of first publication has shifted from after the PhD to several years before PhD in most of the studied fields. In contrast, post-PhD publication career spans have not changed much in most fields. The share of doctorate recipients who have published for more than twenty years has remained stable over time; the shares of doctorate recipients publishing for shorter periods also remained almost unchanged. Thus, though there have been changes in pre-PhD publication careers, post-PhD career spans remained quite stable.","Cathelijn J. F. Waaijer,Benoit Macaluso,Cassidy R. Sugimoto,Vincent Lariviere",10.1371/journal.pone.0154741,PLOS ONE,,,,,
"Stay Rates of Foreign Doctorate Recipients from U.S. Universities, 2007",dataset-370,"Study of the stay rate in the United States of foreign nationals receiving their S/E doctorates from U.S. universities. This study has estimated stay rates in 2007 for persons receiving a doctorate one, two, five, and ten years previously. The two-year stay rate (for 2005 graduates) recovered from the decline experienced earlier in the decade. The five-year stay rate (for 2002 graduates) is lower; the ten-year stay rate (for 1997 graduates) reached a new high.",Michael G. Finn,10.2172/971617,U.S. Department of Energy Office of Scientific and Technical Information,,,,,
Issues of validity in reporting the number of doctorates in mathematics education,dataset-370,"The Survey of Earned Doctorates (SED) has historically been used to report the number of new doctorates entering over 100 different academic disciplines annually, including the field of mathematics education. In this article, we examine the validity of the use of this measure for this purpose by analyzing data from 23 institutions that grant mathematics education doctoral degrees and a specific university. Results showed that the SED underestimated the number of doctoral graduates by 5\u201315%, raising concerns about the use of the SED for this purpose."," Jeffrey C. Shih,Christopher Engledowl,Robert E. Reys",10.1080/19477503.2017.1375356,Investigations in Mathematics Learning,List of fields of doctoral studies in the United States,,,,
Size and characteristics of the biomedical research workforce associated with U.S. National Institutes of Health extramural grants,dataset-370,"The U.S. National Institutes of Health (NIH) annually invests approximately $22 billion in biomedical research through its extramural grant programs. Since fiscal year (FY) 2010, all persons involved in research during the previous project year have been required to be listed on the annual grant progress report. These new data have enabled the production of the first-ever census of the NIH-funded extramural research workforce. Data were extracted from All Personnel Reports submitted for NIH grants funded in FY 2009, including position title, months of effort, academic degrees obtained, and personal identifiers. Data were de-duplicated to determine a unique person count. Person-years of effort (PYE) on NIH grants were computed. In FY 2009, NIH funded 50,885 grant projects, which created 313,049 full- and part-time positions spanning all job functions involved in biomedical research. These positions were staffed by 247,457 people at 2,604 institutions. These persons devoted 121,465 PYE to NIH grant-supported research. Research project grants each supported 6 full- or part-time positions, on average. Over 20% of positions were occupied by postdoctoral researchers and graduate and undergraduate students. These baseline data were used to project workforce estimates for FYs 2010-2014 and will serve as a foundation for future research.","Lindsay R. Pool,Robin M. Wagner,Lindsey L Scott,Deepshikha Roychowdhury,Rediet Berhane,Charles Chong-han Wu,Katrina Pearson,Jennifer Ann Sutton,Walter T Schaffer",10.1096/fj.14-264358,The FASEB Journal,"Extramural Activities,nited States National Institutes of Health,funding grant,biomedical research,National Research Service Awards,censuses,manuscript,Projections and Predictions,extraction,Conflict (Psychology),Spectrophotometry,Direct Coombs test,Advisory Committees,data collection",,,,
"Disparities in publication patterns by gender, race and ethnicity based on a survey of a random sample of authors",dataset-370,"Gender and racial disparities have greatly diminished in academia over the last 30 years, but attrition rates among women and minority faculty still remain high. In this paper we examine gender and racial disparities in publishing, an activity that is important for career advancement, but has not been incorporated adequately into the debate on faculty attrition. We surveyed a random sample of 1,065 authors who contributed a peer-reviewed journal article indexed in the Web of Science (WoS) in 2005 and at least one other article during the period of 2001 to 2004 in four academic disciplines representing natural sciences (biochemistry and water resources) and social sciences (anthropology and economics). We then report on the relationships between demographic variables (gender and race/ethnicity) and career-related variables (academic rank, discipline, and h-index) of these authors. Our findings show that at every career level and within each discipline, women were under-represented in academic positions compared to men and an even lower percentage of women published at each academic level than were employed at that level. Further, we found that women had lower h-indices than men in all four disciplines surveyed. Societal and biological constraints may reduce women's ability to obtain research intensive positions and contribute to these gender disparities. Hispanics and blacks were underrepresented among individuals awarded with doctoral degrees, doctorate recipients employed in academia, and academics publishing in WoS as compared to their representation in the population. Whites, Asians, and Native Americans and Pacific Islanders were adequately or over-represented in each category. Additionally, blacks had lower h-indices than the other ethnic groups across the disciplines surveyed. Compared to women, attrition among blacks and Hispanics appears to occur earlier in their career development. Cumulative experiences with discrimination and stereotypes may partly explain higher attrition and lower publication productivity among blacks and Hispanics.","Allison L. Hopkins,James W. Jawitz,Christopher McCarty,Alex Goldman,Nandita B. Basu",10.1007/s11192-012-0893-4,Scientometrics,"Attrition (website),Web of Science,Experience,World Wide Web",,,,
"Employment Trends Among Public Health Doctoral Recipients, 2003-2015",dataset-370,"Objectives. To examine postgraduation employment trends among graduates of doctoral programs in public health from 2003 to 2015.
Methods. We analyzed pooled cross-sectional data from a census of graduates receiving a research doctorate from US accredited institutions. The outcome of interest was employment status. Covariates included public health discipline, sociodemographic characteristics, and institutional attributes.
Results. Of 11 771 graduates, nearly two thirds secured employment in either academic (34.8%) or nonacademic (31.4%) settings at the time of graduation. The proportion of those still seeking employment increased over time. Individuals who were White, younger, trained in either biostatistics or epidemiology, or from an institution with the highest level of research intensity were significantly more likely to secure employment. Academic employment was the most common setting for all 5 public health disciplines, but we observed differences in employment patterns (e.g., government, nonprofit, for-profit) across disciplines.
Conclusions. Certain characteristics among public health doctoral recipients are correlated with postgraduation employment. More research is needed, but the observed increase in individuals still seeking employment may be attributable to increases in general public health graduates from for-profit institutions.","Brittany L. Brown-Podgorski, Elizabeth H. Golembiewski,Ann M. Holmes,Joanna R. Jackson,Nir Menachemi",10.2105/ajph.2018.304553,American Journal of Public Health,,,,,
"Are Race, Ethnicity, and Medical School Affiliation Associated With NIH R01 Type Award Probability for Physician Investigators?",dataset-370,"PURPOSE: o analyze the relationship among National Institutes of Health (NIH) R01 Type 1 applicant degree, institution type, and race/ethnicity, and application award probability. METHOD: the authors used 2000-2006 data from the NIH IMPAC II grants database and other sources to determine which individual and institutional characteristics of applicants may affect the probability of applications being awarded funding. They used descriptive statistics and probit models to estimate correlations between race/ethnicity, degree (MD or PhD), and institution type (medical school or other institution), and application award probability, controlling for a large set of observable characteristics. RESULTS: Applications from medical schools were significantly more likely than those from other institutions to receive funding, as were applications from MDs versus PhDs. Overall, applications from blacks and Asians were less likely than those from whites to be awarded funding; however, among applications from MDs at medical schools, there was no difference in funding probability between whites and Asians, and the difference between blacks and whites decreased to 7.8%. The inclusion of human subjects significantly decreased the likelihood of receiving funding. CONCLUSIONS: Compared with applications from whites, applications from blacks have a lower probability of being awarded R01 Type 1 funding, regardless of the investigator's degree. However, funding probability is increased for applications with MD investigators and for those from medical schools. To some degree, these advantages combine so that applications from black MDs at medical schools have the smallest difference in funding probability compared with those from whites.","Donna K Ginther,Laurel L. Haak,Walter T Schaffer,Raynard Kington",10.1097/ACM.0b013e31826d726b,Journal of the Association of American Medical Colleges,,,,,
"Gender differences between faculty members in higher education: A literature review of selected higher education journals,",dataset-428,"Abstract Gender issues in higher educational institutions have attracted increasing levels of attention from researchers in recent decades. As a result, many studies have called for greater gender equity between men and women in universities. However, there is a lack of sufficient literature review studies that investigate gender differences between faculty members of universities. This paper offers a review of the literature on gender differences between faculty members in higher education during the period from 2000 to 2013. The objectives of the review are to: identify and explore patterns and trends in publication outlets; collect, document, scrutinise and critically analyse the current literature on this field; to identify gaps in the literature; and make recommendations for further research in this field. To accomplish this task, we collected the data from fourteen specialist academic journals that focus on higher education.,",semantic scholar,"Mamen Gomez Cama, Manuel Larron Jorge",semantic scholar,10.1016/j.edurev.2016.03.001,semantic scholar,Educational Research Review,Unpaywall,
"An empirical study of scientific production: A cross country analysis, 1981-2002",dataset-428,"This paper presents the results of an econometric approach to examine the determinants of scientific production at cross-country level. The paper aims not to provide accurate and robust estimates of investment elasticities (a doubtful task given the poor quality of the data sources and the modelling problems), but to develop and critically assess the validity of an empirical approach for characterising the production of science and its impact, from a comparative perspective. We employ and discuss the limitations of a production function approach to relate investment inputs to scientific outputs using a sample of 14 countries for which we have information on higher education research and development (HERD). The outputs are taken from the Thomson ISI\u00c2\u00ae national science indicators (2002) database on published papers and citations. The inputs and outputs for this sample of countries have been recorded for a period of 21\u00c2 years (1981-2002). A thorough discussion of the data shortcomings is provided. On the basis of this panel dataset we investigate the profile of the time lag between investment in HERD and research output and returns to national investment in science. We devote particular attention to analysing the presence of cross-country spillovers. We show their relevance and underline the international effect of the US system.",semantic scholar,"Gustavo Atilio Crespi, Aldo Geuna, ",semantic scholar,10.1007/s11192-015-1632-4,semantic scholar,Research Policy,Unpaywall,
Science Funding and Short-Term Economic Activity,dataset-428,"There is considerable interest among policy-makers in documenting short-term effects of science funding. A multiyear scientific journey that leads to long-term fruits of research, such as a moon landing, is more tangible if there is visible nearer-term activity, such as the presence of astronauts. Yet systematic data on such activities have not heretofore existed. The only source of information for describing the production of most science is surveys that have been called \u201ca rough estimate, frequently based on unexamined assumptions that originated years earlier\u201d (1).",semantic scholar,"Bruce A. Weinberg, Jason Owen-Smith, Rebecca F. Rosen, Lou Schwarz, Barbara McFadden Allen, Roy Weiss, Julia Lane",semantic scholar,10.1126/science.1250055,"citation_velocity, Unpaywall",Science,Unpaywall,
"Control of MSSA and MRSA in the United States: protocols, policies, risk adjustment and excuses",dataset-428,"Data released by the U.S. Centers for Disease Control and Prevention (CDC) on March 5, 2019 showed that Staph aureus infections are a major problem in the United States, with 119,000 infections and almost 20,000 deaths in 2017. Rates of decline for hospital-onset MRSA have slowed since 2012 and the United States is not on track for meeting the 2015\u2009U.S. Dept. of Health and Human Services\u2019 goal of a 50% reduction by 2020. There is a need for improved standards for control of dangerous pathogens. Currently, the World Health Organization\u2019s\u00a0recommendation of preoperatively screening patients for Staph aureus\u00a0has not become a standard of care in the United States.The U.S. Veterans Health Administration also released data which found a much larger decrease in hospital-onset MRSA infections as opposed to hospital-onset MSSA using various infectious disease bundles that all included universal MRSA surveillance and isolation for MRSA carriers. These results mirror the results obtained by the United Kingdom\u2019s National Health Service. These findings support the contention that the marked decline in hospital-onset MRSA infections observed in these studies is due to interventions which are specifically targeted towards MRSA.A case is made that concerns with the integrity of healthcare policy research, along with industrial conflicts-of-interest\u00a0have inhibited effective formulation of infectious disease policy in the United States. Because MRSA has become endemic in the general U.S. population (approximately 2%), the author advocates that universal facility-wide screening of MRSA on admission be included in infection prevention bundles used at U.S. hospital.",semantic scholar,Kevin T. Kavanagh,semantic scholar,10.1186/s13756-019-0550-2,"Unpaywall, dissemin",Antimicrobial Resistance & Infection Control,dissemin,
Federal Funding For Research On The Leading Causes Of Death Among Children And Adolescents,dataset-428,"Firearm injuries are the second-leading cause of death for US children and adolescents (ages\u00a01-18). This analysis quantified the federal dollars granted to research for the leading US causes of death for this age group in 2008-17. Several federal data sources were queried. On average, in the study period, $88\u00a0million per year was granted to research motor vehicle crashes, the leading cause of death in this age group. Cancer, the third-leading cause of mortality, received $335\u00a0million per year. In contrast, $12\u00a0million-only thirty-two grants, averaging $597 in research dollars per death-went to firearm injury prevention research among children and adolescents. According to a regression analysis, funding for pediatric firearm injury prevention was only 3.3\u00a0percent of what would be predicted by mortality burden, and that level of funding resulted in fewer scientific articles than predicted. A thirtyfold increase in firearm injury research funding focused on this age group, or at least $37\u00a0million per year, is needed for research funding to be commensurate with the mortality burden.",semantic scholar,"Rebecca M. Cunningham,  Megan L. Ranney, Jason E Goldstick, Sonia V Kamat, Jessica S Roche, Patrick M. Carter",,10.1377/hlthaff.2019.00476,,Health Affairs,,"Cessation of life, Neoplasms, Firearms, prevention research, Cumulative Trauma Disorders, Adolescent (age group), funding grant, Brain Injuries"
Training opportunities for noncommunicable diseases research in Latin America: A scoping review,dataset-428,"Objective: To identify gaps in postgraduate training and options for building capacity in noncommunicable disease (NCDs) research in Latin America.\n\n\nMethods\nThis was a scoping review of postgraduate opportunities in NCDs at top universities in Latin America and of training grants awarded by international funding bodies. Three global university rankings were considered-the QS Ranking, the Shanghai Ranking, and the Times Ranking. Latin American universities appearing in at least two of these were selected. University websites were searched for current graduate programs in biostatistics, epidemiology, global health, health economics, and public health. Information was extracted, summarized, and evaluated to identify any programs focused on NCDs. In addition, seven international funding bodies' websites were searched for training grants.\n\n\nResults\nIn all, 33 universities offering 72 postgraduate programs met the inclusion criteria. One of these programs was exclusively devoted to NCD, and 12 offered NCDs as a dissertation research topic. Only two training grants were awarded to a Latin American institution for NCD capacity building. There are few NCD research training programs in Latin America and only one program exclusively focused on NCDs.\n\n\nConclusion\nThere seem to be few NCD-specific research training programs in Latin America. Leveraging existing programs and expanding those with a focus on NCDs could help enhance NCD research capacity in the region. These initiatives should be supported by international funding agencies through more funding opportunities.",,"Jessica Hanae Zafra-Tanaka, Rodrigo M Carrillo-Larco, Antonio Bernabe-Ortiz, Vilma Edit Irazola, Goodarz Danaei, J Jaime Miranda,",,10.26633/rpsp.2019.68,,BULL PAN AM HEALTH ORGAN,,"Dermox, Universities, Awards, funding grant, Training Programs, Immune System Diseases, Extraction, Global Health, Search - action, Epidemiology"
National Scientific Funding for Interdisciplinary Research: A Comparison Study of Infectious Diseases in the US and EU,dataset-428,"Infectious diseases have been continuously and increasingly threatening human health and welfare due to a variety of factors such as globalisation, environmental, demographic changes, and emerging pathogens. In order to establish an interdisciplinary approach for coordinating R&D via funding, it is imperative to discover research trends in the field. In this paper, we apply machine learning methodologies and network analyses to understand how the European Union (EU) and the United States (US) have invested their funding in infectious diseases research utilising an interdisciplinary approach. The purpose of this paper is to use public R&D project data as data and to grasp the research trends of epidemic diseases in the US and EU through scientometric analysis.",,"Yoseob Heo, Jongseok Kang, Keun-hwan Kim",,10.3390/su11154120,,Sustainability,,
Federal funding of doctoral recipients: What can be learned from linked data,dataset-428,"Abstract This technical note describes the results of a pilot approach to link administrative and survey data to better describe the richness and complexity of the research enterprise. In particular, we demonstrate how multiple funding channels can be studied by bringing together two disparate datasets: UMETRICS, which is based on university payroll and financial records, and the Survey of Earned Doctorates (SED), which is one of the most important US survey datasets about the doctoral workforce. We show how it is possible to link data on research funding and the doctorally qualified workforce to describe how many individuals are supported in different disciplines and by different agencies. We outline the potential for more work as the UMETRICS data expands to incorporate more linkages and more access is provided.",,"Wan-Ying Chang, Wei Cheng, Julia Lane, Bruce A. Weinberg",,10.1016/j.respol.2019.03.001,,Research Policy,,
A Review of Approaches Used to Increase Awareness of Pre-exposure Prophylaxis (PrEP) in the United States,dataset-428,"PrEP is an important and useful HIV prevention strategy, yet awareness remains low among at-risk populations in the United States and elsewhere in the world. As previous studies have shown PrEP awareness to be important to PrEP uptake, understanding approaches to increase PrEP awareness is imperative. The current systematic review provides an overview of published articles and on-going research on PrEP awareness. Using PRISMA guidelines, two published articles and seven on-going research studies were identified that use different approaches to increase PrEP awareness. Findings highlight the need for research to target other at-risk populations and geographic areas. Future research should consider the use of technology and network approaches to assess whether they lead to increased awareness, accurate knowledge, and uptake of PrEP, along with examining which messaging works best for specific targeted, at-risk population(s).ResumenPrEP es una estrategia importante y \u00fatil, sin embargo, la concientizaci\u00f3n dentro de las poblaciones de riesgo en Estados Unidos y en el Mundo, son bajas. Como lo han demostrado estudios anteriores, la concientizaci\u00f3n del PrEP es importante para el consumo del PrEP, por lo tanto, entender los enfoques para incrementar la concientizaci\u00f3n del PrEP, es imperativo. El actual sistema de revisi\u00f3n provee algunos art\u00edculos publicados e investigaci\u00f3n continua sobre la concientizaci\u00f3n del PrEP. Usando las gu\u00edas PRISMA, dos art\u00edculos publicados y siete estudios de investigaci\u00f3n continua, fueron identificados que utilizan diferentes m\u00e9todos para incrementar la concientizaci\u00f3n del PrEP. Resultados resaltan la necesidad de investigaciones en poblaciones de riesgo y en \u00e1reas geogr\u00e1ficas. Futuras investigaciones deber\u00edan considerar el uso de tecnolog\u00eda y redes para evaluar si se incremento de la concientizaci\u00f3n, conocimiento y consume del PrEP, en conjunto con examinar mensajes que funcionan para el objetivo espec\u00edfico, para una poblaci\u00f3n o poblaciones en riesgo.",,"Amber I. Sophus, Jason W Mitchell",,10.1007/s10461-018-2305-0,,AIDS and Behavior,,"Chromosome Deletion, Scientific Publication, "
The role of the microbiome in immunologic development and its implication for pancreatic cancer immunotherapy,dataset-428,"Our understanding of the microbiome and its role in immunity, cancer initiation, and cancer progression has evolved significantly over the past century. The \germ theory of cancer\ was first proposed in the early 20th century, and shortly thereafter the bacterium Helicobacter pylori, and later Fusobacterium nucleatum, were implicated in the development of gastric and colorectal cancers, respectively. However, with the development of reliable mouse models and affordable sequencing technologies, the most fascinating aspect of the microbiome-cancer relationship, where microbes undermine cancer immune surveillance and indirectly promote oncogenesis, has only recently been described. In this review, we highlight the essential role of the microbiome in immune system development and maturation. We review how microbe-induced immune activation promotes oncogenesis, focusing particularly on pancreatic carcinogenesis, and show that modulation of the microbiome augments the anti-cancer immune response and enables successful immunotherapy against pancreatic cancer.",,"Vrishketan Sethi, Gerardo A Vitiello, Deepak Saxena, George Miller, Vikas Dudeja",,10.1053/j.gastro.2018.12.045,,Gastroenterology,,"Pancreatic carcinoma, Immunotherapy, Microbiome, Colorectal Neoplasms, Carcinogenesis, Helicobacter pylori, Biopolymer Sequencing, Malignant neoplasm of pancreas"
The relation between research priorities and societal demands: The case of rice,dataset-428,"To what extent is scientific research related to societal needs? To answer this crucial question systematically we need to contrast indicators of research priorities with indicators of societal needs. We focus on rice research and technology between 1983 and 2012. We combine quantitative methods that allow investigation of the relation between \u2018revealed\u2019 research priorities and \u2018revealed\u2019 societal demands, measured respectively by research output (publications) and national accounts of rice use and farmers\u2019 and consumers\u2019 rice-related needs. We employ new bibliometric data, methods and indicators to identify countries\u2019 main rice research topics (priorities) from publications. For a panel of countries, we estimate the relation between revealed research priorities and revealed demands. We find that, across countries and time, societal demands explain a country's research trajectory to a limited extent. Some research priorities are nicely aligned to societal demands, confirming that science is partly related to societal needs. However, we find a relevant number of misalignments between the focus of rice research and revealed demands, crucially related to human consumption and nutrition. We discuss some implications for research policy.",,"Tommaso Ciarli, Ismael Ruefols",,10.1016/j.respol.2018.10.027,,Research Policy,,
The impact of money on science: Evidence from unexpected NCAA footballA outcomes,dataset-428,"Universities perform a rising share of R&D in developed countries and increasingly rely on internal rather than government or private sector sources to fund these activities. This paper uses unexpected college football outcomes to exogenously vary school-funded research support expenditures. It then examines how these expenditures affect scientific productivity at US universities and whether the pool of knowledge created by academic research generates valuable innovation at the margin. We find large effects on publishing and patenting that sharply exceed estimates from prior work. Using data on technology licensing revenues, we find 4-5% upfront returns and 9% total returns on investment. JEL: O31, O32, D24, I23. \u2217We are grateful for early input from Juan Alcacer, Thomas Covert, James Lee, Josh Lerner, Charlie Nathanson, Ariel Pakes, Kyle Welch, and Erick Zwick as well as comments by Alberto Galasso, Meg Blume-Kohout, Ben Jones, Megan MacGarvie, Scott Stern, Chad Syverson, and participants at the NBER Summer Institute on Innovation, Cirano Conference on Industrial Organization, Chicago Booth Microeconomics Workshop, and Chicago Harris Public Policy and Economics Workshop. For helpful discussions on the research, funding, and publishing process in science and engineering fields, we thank Sharon Allen, Patrick Fitzgerald, Susan Gomes, Mick Sawka, and Beth Thomson at Harvard University, Park Hays at Sandia National Laboratories, Marty Holmes at the Texas A&M Association of Former Students, Roxanne Moore at Georgia Tech, Carolyn Porter at the McDonald Observatory at the University of Texas at Austin, Frank Rotondo at the Institute for Defense Analyses, and Mario Trujillo at the University of Wisconsin-Madison. \u2020Address: Harvard Business School, Soldiers Field Road, Boston, MA 02163, htabakovic@hbs.edu \u2021Corresponding author address: The University of Chicago Booth School of Business, 5807 South Woodlawn Avenue, Chicago IL 60637, thomas.wollmann@chicagobooth.edu",,"Haris Tabakovic, Thomas Wollmann",,10.1016/j.jpubeco.2019.104066,,Journal of Public Economics,,"Money, Estimated, Ordinary least squares, Interaction, Plausibility structure, Relevance, Universities"
The hunt for the lesser-known funding source,dataset-428,"Scientists can use search skills and solid connections to find grants from foreign governments, foundations and crowdfunding.Scientists can use search skills and solid connections to find grants from foreign governments, foundations and crowdfunding.",,Elie Dolgin,,10.1038/d41586-019-01734-1,,Nature,,"Government, funding grant, Foundations"
UniversitiesaTM structural commitment to interdisciplinary research,dataset-428,"In recent years, science policy experts have been promoting interdisciplinary research (IDR) in order to foster innovation and address grand scientific challenges. But to date we know little about whether, how, and to what extent universities are committed to fostering this type of research. This paper develops the first measure of university commitment to IDR, which relies on the organizational structuring of research activity into research centers and departments. We extend the previous literature by measuring, rather than assuming, the interdisciplinary nature of research units. Using a large amount of textual data from 157 research universities in the United States, and combining machine learning and confirmatory factor analysis techniques, we develop a continuous and composite measure that taps universities\u2019 structural commitment to IDR. We then examine the commitment exhibited by specific universities and how such commitment varies by university characteristics like size, resources, and region. Results show that the fraction of centers and departments that are interdisciplinary is critical to measuring a university\u2019s structural commitment to IDR and to developing specific research policies aimed at fostering IDR.",,"Erin Leahey, Sondra N. Barringer, Misty Ring-Ramirez",,10.1007/s11192-018-2992-3,,Scientometrics,,"Machine learning, Independence Day: Resurgence, Confirmatory factor analysis, Text corpus"
Public Anthropology in Changing Times,dataset-428,,,"Robert Borofsky, Antonio de Lauri",,10.1163/25891715-00201002,,Public Anthropologist,,
Modeling research universities: Predicting probable futures of public vs. private and large vs. small research universities,dataset-428,"The future of the American academic research enterprise is considered. Data are presented that characterize the resources available for the 160 best-resourced research universities, a small subset of the 2,285 4-year, nonprofit, higher education institutions. A computational model of research universities was extended and used to simulate three strategic scenarios: status quo, steady decline in foreign graduate student enrollments, and downward tuition pressures from high-quality, online professional master's programs. Four specific universities are modeled: large public and private, and small public and private. The former are at the top of the 160 in terms of resources, while the latter are at the bottom of the 160. The model's projections suggest how universities might address these competitive forces. In some situations, it would be in the economic interests of these universities to restrict research activities to avoid the inherent subsidies these activities require. The computational projections portend the need for fundamental change of approaches to business for universities without large institutional resources.",,"Willian Bill Rouse, John V. Lombardi, Diane D. Craig",,10.1073/pnas.1807174115,,Proceedings of the National Academy of Sciences,,"Universities, Probability, Projections and Predictions, Status Epilepticus, Subgroup"
A comparison of two approaches for measuring interdisciplinary research output: The disciplinary diversity of authors vs the disciplinary diversity of the reference list,dataset-428,"Abstract This study investigates the convergence of two bibliometric approaches to the measurement of interdisciplinary research: one based on analyzing disciplinary diversity in the reference list of publications, the other based on the disciplinary diversity of authors of publications. In particular we measure the variety, balance, disparity and integrated diversity index of, respectively, single-author, multi-author single-field, and multi-author multi-field publications. We find that, in general, the diversity of the reference list grows with the number of fields reflected in a paper\u2019s authors\u2019 list and, to a lesser extent, with the number of authors being equal the number of fields. Further, we find that when fields belonging to different disciplines are reflected in the authors\u2019 list, the disparity in the reference list is higher than in the case of fields belonging to the same discipline. However, this general tendency varies across disciplines, and noticeable exceptions are found at individual paper level.",,"Giovanni Abramo, Ciriaco Andrea D'Angelo, Lin Zhang",,10.1016/j.joi.2018.09.001,,Journal of Informetrics,,"Bibliographic index, Binocular disparity, Bibliometrics, Mike Lesser, "
